advertiserName;date;creativeType;deviceCategoryName;totalLineItemLevelImpressions;totalLineItemLevelClicks;totalLineItemLevelCtr;clickThroughConversions;viewThroughConversions
Cliente 1;02/06/2023;Custom;SmartTV;464;363;0,78233;326;155
Cliente 1;02/06/2023;Custom;Desktop;35201;425;0,01207;50;247
Cliente 1;02/06/2023;HTML5;SmartTV;30863;441;0,01429;288;22
Cliente 1;02/06/2023;Custom;Tablet;30073;44;0,00146;33;465
Cliente 1;02/06/2023;Other;Tablet;2494;83;0,03328;46;452
Cliente 1;02/06/2023;DoubleClick Rich Media;Desktop;48737;331;0,00679;135;331
Cliente 1;02/06/2023;Image;Tablet;39901;30;0,00075;20;187
Cliente 1;02/06/2023;Image;Smartphone;20737;125;0,00603;52;205
Cliente 1;02/06/2023;Third-party;Smartphone;19249;448;0,02327;214;238
Cliente 1;02/06/2023;Video creative sets;Desktop;1327;432;0,32555;85;308
Cliente 1;02/06/2023;Custom;SmartTV;4208;102;0,02424;51;332
Cliente 1;02/06/2023;Other;Desktop;21673;90;0,00415;70;215
Cliente 1;02/06/2023;DoubleClick Rich Media;SmartTV;3224;133;0,04125;89;135
Cliente 1;02/06/2023;Programmatic;Desktop;1994;15;0,00752;8;256
Cliente 1;02/06/2023;Custom;SmartTV;21362;455;0,02130;3;276
Cliente 1;02/06/2023;DoubleClick Rich Media;Desktop;33721;146;0,00433;111;496
Cliente 1;02/06/2023;HTML5;Smartphone;33251;280;0,00842;253;211
Cliente 1;02/06/2023;DoubleClick Rich Media;Tablet;15198;212;0,01395;136;1
Cliente 1;02/06/2023;Custom template;Desktop;25403;32;0,00126;10;77
Cliente 1;02/06/2023;Other;SmartTV;3764;251;0,06668;240;24
Cliente 1;02/06/2023;Custom template;Desktop;34986;311;0,00889;64;255
Cliente 1;02/06/2023;DoubleClick Rich Media;Desktop;46352;217;0,00468;71;435
Cliente 1;02/06/2023;HTML5;Desktop;26211;44;0,00168;25;89
Cliente 1;02/06/2023;Third-party;Smartphone;26104;131;0,00502;73;33
Cliente 1;02/06/2023;Custom;Desktop;17931;291;0,01623;172;389
Cliente 1;02/06/2023;Image;Desktop;8231;367;0,04459;16;18
Cliente 1;02/06/2023;Video creative sets;SmartTV;20061;370;0,01844;212;11
Cliente 1;02/06/2023;Third-party;Tablet;39093;172;0,00440;115;298
Cliente 1;02/06/2023;Image;Smartphone;4055;40;0,00986;21;234
Cliente 1;02/06/2023;Custom;Smartphone;26538;59;0,00222;35;434
Cliente 1;02/06/2023;HTML5;Desktop;24809;75;0,00302;37;389
Cliente 1;02/06/2023;Video creative sets;Tablet;7164;142;0,01982;137;247
Cliente 1;02/06/2023;Custom;Smartphone;31336;171;0,00546;133;300
Cliente 1;02/06/2023;Custom template;Tablet;10099;396;0,03921;16;186
Cliente 1;02/06/2023;Custom;Smartphone;26293;84;0,00319;68;45
Cliente 1;02/06/2023;Video creative sets;Tablet;4831;375;0,07762;261;217
Cliente 1;03/06/2023;DoubleClick Rich Media;Tablet;2541;426;0,16765;94;56
Cliente 1;03/06/2023;Programmatic;SmartTV;7902;58;0,00734;40;11
Cliente 1;03/06/2023;Third-party;Desktop;17999;362;0,02011;144;24
Cliente 1;03/06/2023;Third-party;SmartTV;35036;34;0,00097;8;370
Cliente 1;03/06/2023;HTML5;SmartTV;18058;190;0,01052;116;15
Cliente 1;03/06/2023;Video creative sets;SmartTV;24990;15;0,00060;1;434
Cliente 1;03/06/2023;Custom template;SmartTV;37564;453;0,01206;276;258
Cliente 1;03/06/2023;Image;Smartphone;14555;75;0,00515;9;423
Cliente 1;03/06/2023;HTML5;SmartTV;5610;124;0,02210;74;222
Cliente 1;03/06/2023;Image;Tablet;20551;117;0,00569;20;337
Cliente 1;03/06/2023;Other;SmartTV;11619;150;0,01291;26;402
Cliente 1;03/06/2023;Image;Tablet;20312;91;0,00448;45;204
Cliente 1;03/06/2023;Custom template;Smartphone;48310;383;0,00793;194;141
Cliente 1;03/06/2023;Image;Desktop;43266;407;0,00941;256;399
Cliente 1;03/06/2023;Third-party;Smartphone;69;234;3,39130;9;114
Cliente 1;03/06/2023;Other;Desktop;1195;339;0,28368;316;432
Cliente 1;03/06/2023;HTML5;Desktop;11474;79;0,00689;15;270
Cliente 1;03/06/2023;Custom template;Desktop;13103;222;0,01694;147;107
Cliente 1;03/06/2023;Image;SmartTV;19183;378;0,01970;77;387
Cliente 1;03/06/2023;Third-party;Desktop;8604;97;0,01127;14;182
Cliente 1;03/06/2023;Image;Smartphone;19722;372;0,01886;301;320
Cliente 1;03/06/2023;Image;SmartTV;43066;25;0,00058;10;334
Cliente 1;03/06/2023;DoubleClick Rich Media;SmartTV;22479;145;0,00645;64;305
Cliente 1;03/06/2023;Custom template;Tablet;25153;293;0,01165;195;137
Cliente 1;03/06/2023;Programmatic;Tablet;17604;466;0,02647;300;412
Cliente 1;03/06/2023;Custom template;SmartTV;17664;251;0,01421;68;331
Cliente 1;03/06/2023;HTML5;SmartTV;37342;198;0,00530;172;362
Cliente 1;03/06/2023;HTML5;Smartphone;31942;148;0,00463;83;303
Cliente 1;03/06/2023;Third-party;SmartTV;14898;265;0,01779;164;158
Cliente 1;03/06/2023;Programmatic;Tablet;31979;53;0,00166;36;8
Cliente 1;03/06/2023;Custom template;Desktop;33651;390;0,01159;201;74
Cliente 1;03/06/2023;Third-party;Tablet;12275;309;0,02517;251;332
Cliente 1;03/06/2023;Image;Smartphone;15779;273;0,01730;184;321
Cliente 1;03/06/2023;HTML5;Tablet;702;243;0,34615;145;176
Cliente 1;03/06/2023;Programmatic;Smartphone;46070;145;0,00315;69;117
Cliente 1;03/06/2023;Programmatic;SmartTV;42647;336;0,00788;122;420
Cliente 1;03/06/2023;Video creative sets;Tablet;42007;384;0,00914;222;405
Cliente 1;03/06/2023;Custom template;Desktop;39126;317;0,00810;205;366
Cliente 1;03/06/2023;Custom template;Smartphone;3496;402;0,11499;336;211
Cliente 1;03/06/2023;HTML5;SmartTV;10349;316;0,03053;223;199
Cliente 1;03/06/2023;Custom template;Desktop;33909;264;0,00779;210;132
Cliente 1;03/06/2023;Video creative sets;SmartTV;31161;492;0,01579;92;55
Cliente 1;03/06/2023;Programmatic;Desktop;31032;249;0,00802;248;316
Cliente 1;03/06/2023;Custom;Desktop;33732;452;0,01340;128;41
Cliente 1;03/06/2023;Image;SmartTV;12404;266;0,02144;76;132
Cliente 1;03/06/2023;Video creative sets;SmartTV;35653;348;0,00976;148;442
Cliente 1;03/06/2023;Programmatic;Tablet;42993;147;0,00342;123;228
Cliente 1;03/06/2023;Custom;SmartTV;19661;273;0,01389;215;24
Cliente 1;03/06/2023;Other;Tablet;26926;35;0,00130;8;280
Cliente 1;03/06/2023;Third-party;Desktop;35120;464;0,01321;165;450
Cliente 1;03/06/2023;HTML5;Desktop;11962;255;0,02132;176;196
Cliente 1;03/06/2023;HTML5;Smartphone;15716;146;0,00929;14;54
Cliente 1;03/06/2023;Custom;Smartphone;44409;82;0,00185;74;437
Cliente 1;03/06/2023;HTML5;Desktop;24764;182;0,00735;92;266
Cliente 1;03/06/2023;HTML5;Desktop;40966;65;0,00159;50;128
Cliente 1;03/06/2023;HTML5;Tablet;25897;497;0,01919;454;447
Cliente 1;03/06/2023;Image;Tablet;49572;92;0,00186;10;221
Cliente 1;03/06/2023;Image;Smartphone;39128;250;0,00639;118;114
Cliente 1;03/06/2023;Other;SmartTV;29528;405;0,01372;218;335
Cliente 1;03/06/2023;Other;Smartphone;26119;250;0,00957;59;296
Cliente 1;03/06/2023;Other;Desktop;20306;286;0,01408;18;135
Cliente 1;03/06/2023;DoubleClick Rich Media;SmartTV;8836;371;0,04199;6;376
Cliente 1;03/06/2023;Third-party;Desktop;41959;446;0,01063;122;203
Cliente 1;03/06/2023;Video creative sets;Desktop;24355;319;0,01310;135;57
Cliente 1;03/06/2023;Programmatic;Desktop;12455;277;0,02224;125;470
Cliente 1;03/06/2023;Custom template;SmartTV;24472;50;0,00204;33;162
Cliente 1;03/06/2023;HTML5;SmartTV;45495;431;0,00947;389;389
Cliente 1;03/06/2023;Custom template;Smartphone;15149;3;0,00020;2;268
Cliente 1;03/06/2023;HTML5;Desktop;32947;107;0,00325;5;487
Cliente 1;04/06/2023;Image;Tablet;34923;427;0,01223;159;416
Cliente 1;04/06/2023;Programmatic;Tablet;1089;450;0,41322;88;449
Cliente 1;04/06/2023;Video creative sets;SmartTV;46512;237;0,00510;75;298
Cliente 1;04/06/2023;DoubleClick Rich Media;SmartTV;35384;151;0,00427;141;463
Cliente 1;04/06/2023;Image;Tablet;24812;199;0,00802;25;106
Cliente 1;04/06/2023;Custom template;Desktop;49646;15;0,00030;2;216
Cliente 1;04/06/2023;Programmatic;Tablet;7728;47;0,00608;22;207
Cliente 1;04/06/2023;Image;SmartTV;17957;396;0,02205;205;437
Cliente 1;04/06/2023;Image;Smartphone;19711;66;0,00335;40;237
Cliente 1;04/06/2023;DoubleClick Rich Media;SmartTV;37784;381;0,01008;146;330
Cliente 1;04/06/2023;DoubleClick Rich Media;Desktop;42938;472;0,01099;321;298
Cliente 1;04/06/2023;DoubleClick Rich Media;Tablet;10353;121;0,01169;6;205
Cliente 1;04/06/2023;Custom template;Tablet;22677;56;0,00247;50;214
Cliente 1;04/06/2023;Custom;Smartphone;37571;371;0,00987;331;171
Cliente 1;04/06/2023;Custom template;Tablet;36136;133;0,00368;111;179
Cliente 1;04/06/2023;Custom template;Tablet;1607;292;0,18171;233;324
Cliente 1;04/06/2023;Video creative sets;Tablet;27455;276;0,01005;223;55
Cliente 1;04/06/2023;Other;Smartphone;34782;147;0,00423;86;325
Cliente 1;04/06/2023;Video creative sets;Desktop;39438;14;0,00035;13;288
Cliente 1;04/06/2023;Custom template;Desktop;27220;413;0,01517;201;303
Cliente 1;04/06/2023;Other;Tablet;8315;251;0,03019;103;25
Cliente 1;04/06/2023;Custom;SmartTV;31526;30;0,00095;27;176
Cliente 1;04/06/2023;Image;Smartphone;38757;417;0,01076;82;419
Cliente 1;04/06/2023;HTML5;Smartphone;32242;202;0,00627;73;144
Cliente 1;04/06/2023;Programmatic;Tablet;22245;309;0,01389;101;102
Cliente 1;04/06/2023;Video creative sets;Desktop;30613;71;0,00232;3;279
Cliente 1;04/06/2023;Custom;Tablet;13849;392;0,02831;188;78
Cliente 1;04/06/2023;Custom;SmartTV;8823;32;0,00363;28;22
Cliente 1;04/06/2023;Image;SmartTV;15918;305;0,01916;263;374
Cliente 1;04/06/2023;Custom template;SmartTV;5689;257;0,04517;239;481
Cliente 1;04/06/2023;Image;Tablet;2022;328;0,16222;187;453
Cliente 1;04/06/2023;HTML5;Desktop;42196;396;0,00938;242;352
Cliente 1;04/06/2023;Custom;Smartphone;43920;273;0,00622;83;176
Cliente 1;04/06/2023;Custom template;Smartphone;38332;477;0,01244;455;409
Cliente 1;04/06/2023;Other;Desktop;40206;209;0,00520;8;379
Cliente 1;04/06/2023;Programmatic;Smartphone;36820;71;0,00193;25;304
Cliente 1;04/06/2023;Other;SmartTV;43067;86;0,00200;29;51
Cliente 1;04/06/2023;Image;Smartphone;33094;399;0,01206;21;145
Cliente 1;04/06/2023;DoubleClick Rich Media;Smartphone;10641;215;0,02020;51;139
Cliente 1;04/06/2023;Other;SmartTV;43095;474;0,01100;55;111
Cliente 1;04/06/2023;DoubleClick Rich Media;Smartphone;45780;377;0,00824;199;110
Cliente 1;04/06/2023;Custom;Tablet;32150;387;0,01204;369;215
Cliente 1;04/06/2023;Video creative sets;SmartTV;31377;466;0,01485;333;413
Cliente 1;04/06/2023;Third-party;SmartTV;27433;500;0,01823;297;412
Cliente 1;04/06/2023;DoubleClick Rich Media;SmartTV;23785;1;0,00004;1;220
Cliente 1;04/06/2023;Other;Desktop;40457;116;0,00287;106;162
Cliente 1;04/06/2023;HTML5;Desktop;13360;146;0,01093;123;86
Cliente 1;04/06/2023;Custom template;Desktop;46052;116;0,00252;12;364
Cliente 1;04/06/2023;Image;Desktop;48275;483;0,01001;24;394
Cliente 1;04/06/2023;DoubleClick Rich Media;Tablet;47178;371;0,00786;302;117
Cliente 1;04/06/2023;DoubleClick Rich Media;Tablet;34305;250;0,00729;192;241
Cliente 1;04/06/2023;Programmatic;Smartphone;20522;353;0,01720;236;210
Cliente 1;04/06/2023;Image;Desktop;30891;183;0,00592;181;478
Cliente 1;04/06/2023;Video creative sets;SmartTV;28308;191;0,00675;66;459
Cliente 1;04/06/2023;Custom template;Tablet;34130;245;0,00718;7;482
Cliente 1;04/06/2023;Video creative sets;Smartphone;28013;293;0,01046;279;88
Cliente 1;04/06/2023;Video creative sets;SmartTV;49857;439;0,00881;97;97
Cliente 1;04/06/2023;Image;SmartTV;11885;56;0,00471;10;458
Cliente 1;04/06/2023;Custom;Smartphone;34268;153;0,00446;82;480
Cliente 1;04/06/2023;Image;Desktop;9963;428;0,04296;57;318
Cliente 1;04/06/2023;Custom;Desktop;23566;190;0,00806;46;36
Cliente 1;04/06/2023;Other;SmartTV;37885;75;0,00198;9;148
Cliente 1;04/06/2023;DoubleClick Rich Media;Smartphone;3182;301;0,09459;39;164
Cliente 1;04/06/2023;HTML5;Desktop;39949;371;0,00929;330;213
Cliente 1;04/06/2023;Custom template;SmartTV;18753;473;0,02522;140;157
Cliente 1;04/06/2023;Video creative sets;Desktop;19368;275;0,01420;166;102
Cliente 1;04/06/2023;Programmatic;Desktop;17772;294;0,01654;87;106
Cliente 1;04/06/2023;Image;Tablet;47900;230;0,00480;50;320
Cliente 1;04/06/2023;Custom template;Desktop;1478;459;0,31055;9;351
Cliente 1;04/06/2023;Custom template;SmartTV;28359;461;0,01626;122;12
Cliente 1;04/06/2023;Custom template;Tablet;3085;237;0,07682;2;370
Cliente 1;04/06/2023;DoubleClick Rich Media;SmartTV;40651;297;0,00731;191;34
Cliente 1;04/06/2023;Programmatic;Smartphone;31820;166;0,00522;81;285
Cliente 1;04/06/2023;DoubleClick Rich Media;Tablet;39037;230;0,00589;159;322
Cliente 1;04/06/2023;DoubleClick Rich Media;Smartphone;6444;230;0,03569;202;103
Cliente 1;04/06/2023;HTML5;Tablet;25413;463;0,01822;297;172
Cliente 1;04/06/2023;Third-party;SmartTV;9409;409;0,04347;237;413
Cliente 1;04/06/2023;Image;SmartTV;26044;182;0,00699;140;291
Cliente 1;04/06/2023;Image;Desktop;3296;178;0,05400;143;326
Cliente 1;04/06/2023;Custom;SmartTV;8472;230;0,02715;228;162
Cliente 1;04/06/2023;Other;Desktop;17276;136;0,00787;19;292
Cliente 1;04/06/2023;HTML5;Smartphone;26334;86;0,00327;42;412
Cliente 1;04/06/2023;Third-party;Desktop;46465;9;0,00019;6;277
Cliente 1;04/06/2023;Video creative sets;Tablet;39126;142;0,00363;118;445
Cliente 1;04/06/2023;Image;Smartphone;8103;138;0,01703;98;283
Cliente 1;04/06/2023;Third-party;Desktop;20769;82;0,00395;73;419
Cliente 1;05/06/2023;Other;Desktop;22507;266;0,01182;68;254
Cliente 1;05/06/2023;Video creative sets;Desktop;23289;413;0,01773;174;167
Cliente 1;05/06/2023;Image;Tablet;40838;12;0,00029;6;134
Cliente 1;05/06/2023;HTML5;SmartTV;46508;192;0,00413;71;101
Cliente 1;05/06/2023;Third-party;Smartphone;7387;182;0,02464;23;260
Cliente 1;05/06/2023;Custom template;Smartphone;23074;70;0,00303;46;284
Cliente 1;05/06/2023;DoubleClick Rich Media;SmartTV;25954;284;0,01094;158;88
Cliente 1;05/06/2023;Other;Smartphone;36619;44;0,00120;1;82
Cliente 1;05/06/2023;HTML5;Smartphone;40879;328;0,00802;164;48
Cliente 1;05/06/2023;Image;Desktop;44029;254;0,00577;52;239
Cliente 1;05/06/2023;Custom template;SmartTV;13560;228;0,01681;176;39
Cliente 1;05/06/2023;Custom;Tablet;22927;311;0,01356;99;18
Cliente 1;05/06/2023;Custom;Smartphone;45489;168;0,00369;145;181
Cliente 1;05/06/2023;Video creative sets;SmartTV;37357;120;0,00321;116;482
Cliente 1;05/06/2023;Custom;Tablet;1068;333;0,31180;94;273
Cliente 1;05/06/2023;Custom template;Tablet;3821;438;0,11463;203;93
Cliente 1;05/06/2023;Other;Tablet;44728;151;0,00338;133;32
Cliente 1;05/06/2023;Third-party;Tablet;10070;50;0,00497;49;125
Cliente 1;05/06/2023;Programmatic;Smartphone;13104;30;0,00229;8;245
Cliente 1;05/06/2023;DoubleClick Rich Media;SmartTV;16629;398;0,02393;380;200
Cliente 1;05/06/2023;Custom;SmartTV;12379;222;0,01793;173;346
Cliente 1;05/06/2023;HTML5;SmartTV;27338;264;0,00966;186;111
Cliente 1;05/06/2023;HTML5;Smartphone;847;372;0,43920;152;29
Cliente 1;05/06/2023;Third-party;SmartTV;49829;366;0,00735;120;361
Cliente 1;05/06/2023;Other;Tablet;27476;230;0,00837;188;450
Cliente 1;05/06/2023;Programmatic;Smartphone;34389;241;0,00701;89;319
Cliente 1;05/06/2023;Third-party;SmartTV;48142;462;0,00960;54;17
Cliente 1;05/06/2023;HTML5;Smartphone;23258;81;0,00348;57;241
Cliente 1;05/06/2023;HTML5;Smartphone;10603;250;0,02358;171;100
Cliente 1;05/06/2023;DoubleClick Rich Media;Tablet;23227;399;0,01718;235;110
Cliente 1;05/06/2023;Custom template;SmartTV;47445;498;0,01050;220;199
Cliente 1;05/06/2023;Other;SmartTV;47900;190;0,00397;159;238
Cliente 1;05/06/2023;Other;Desktop;6545;409;0,06249;143;102
Cliente 1;05/06/2023;Custom;SmartTV;16076;38;0,00236;12;405
Cliente 1;05/06/2023;Custom;Tablet;11161;96;0,00860;19;491
Cliente 1;05/06/2023;Custom;SmartTV;10147;444;0,04376;218;48
Cliente 1;05/06/2023;Third-party;Desktop;37278;379;0,01017;170;460
Cliente 1;05/06/2023;Video creative sets;SmartTV;26883;145;0,00539;11;51
Cliente 1;05/06/2023;Image;Desktop;42911;262;0,00611;177;364
Cliente 1;05/06/2023;HTML5;Smartphone;6081;344;0,05657;26;298
Cliente 1;05/06/2023;Programmatic;Smartphone;45368;350;0,00771;303;224
Cliente 1;05/06/2023;DoubleClick Rich Media;Desktop;23548;198;0,00841;198;151
Cliente 1;05/06/2023;Other;Tablet;46276;276;0,00596;40;26
Cliente 1;05/06/2023;Programmatic;SmartTV;44277;37;0,00084;16;201
Cliente 1;05/06/2023;DoubleClick Rich Media;Desktop;37311;44;0,00118;9;279
Cliente 1;05/06/2023;Third-party;Smartphone;7287;237;0,03252;217;331
Cliente 1;05/06/2023;Image;Desktop;30621;149;0,00487;38;359
Cliente 1;05/06/2023;Video creative sets;Desktop;6289;270;0,04293;125;14
Cliente 1;05/06/2023;Custom;Desktop;15942;432;0,02710;356;438
Cliente 1;05/06/2023;Video creative sets;Tablet;40596;274;0,00675;171;150
Cliente 1;05/06/2023;Other;Smartphone;27814;479;0,01722;367;365
Cliente 1;05/06/2023;Programmatic;Tablet;31884;42;0,00132;19;261
Cliente 1;05/06/2023;Video creative sets;Desktop;2571;284;0,11046;72;454
Cliente 1;05/06/2023;Custom;Smartphone;11736;248;0,02113;190;241
Cliente 1;05/06/2023;Image;Smartphone;49736;216;0,00434;4;63
Cliente 1;05/06/2023;Custom;Smartphone;38159;223;0,00584;92;191
Cliente 1;05/06/2023;Programmatic;Desktop;20180;378;0,01873;70;461
Cliente 1;05/06/2023;HTML5;Smartphone;19383;96;0,00495;60;326
Cliente 1;05/06/2023;Other;SmartTV;38002;218;0,00574;152;130
Cliente 1;05/06/2023;Custom template;Smartphone;9392;339;0,03609;57;174
Cliente 1;05/06/2023;Third-party;Smartphone;23052;283;0,01228;235;374
Cliente 1;05/06/2023;Third-party;Tablet;29556;483;0,01634;276;114
Cliente 1;05/06/2023;Image;Smartphone;12437;177;0,01423;145;308
Cliente 1;05/06/2023;Video creative sets;Desktop;33052;460;0,01392;267;193
Cliente 1;05/06/2023;Programmatic;Tablet;9763;479;0,04906;131;312
Cliente 1;05/06/2023;Image;SmartTV;28892;69;0,00239;21;203
Cliente 1;05/06/2023;DoubleClick Rich Media;SmartTV;43551;142;0,00326;73;18
Cliente 1;05/06/2023;Video creative sets;Smartphone;16828;259;0,01539;94;222
Cliente 1;05/06/2023;Image;SmartTV;20199;337;0,01668;174;294
Cliente 1;05/06/2023;Other;SmartTV;1323;102;0,07710;42;252
Cliente 1;05/06/2023;Custom template;Tablet;5203;441;0,08476;296;83
Cliente 1;05/06/2023;Programmatic;Tablet;38930;172;0,00442;150;235
Cliente 1;05/06/2023;Programmatic;SmartTV;26583;179;0,00673;117;64
Cliente 1;05/06/2023;Image;Desktop;19001;42;0,00221;19;123
Cliente 1;05/06/2023;DoubleClick Rich Media;Tablet;7112;87;0,01223;31;489
Cliente 1;06/06/2023;HTML5;Desktop;16431;273;0,01661;240;273
Cliente 1;06/06/2023;Video creative sets;Tablet;4589;361;0,07867;356;290
Cliente 1;06/06/2023;Programmatic;SmartTV;41224;464;0,01126;39;187
Cliente 1;06/06/2023;DoubleClick Rich Media;SmartTV;14752;88;0,00597;2;208
Cliente 1;06/06/2023;HTML5;Tablet;30113;151;0,00501;147;79
Cliente 1;06/06/2023;Video creative sets;Smartphone;46989;134;0,00285;68;23
Cliente 1;06/06/2023;HTML5;Smartphone;23655;319;0,01349;122;427
Cliente 1;06/06/2023;Custom;Desktop;8371;65;0,00776;10;442
Cliente 1;06/06/2023;HTML5;Desktop;47651;249;0,00523;133;47
Cliente 1;06/06/2023;Custom;SmartTV;11107;30;0,00270;5;136
Cliente 1;06/06/2023;Third-party;Desktop;175;201;1,14857;171;153
Cliente 1;06/06/2023;Programmatic;Tablet;12046;369;0,03063;309;62
Cliente 1;06/06/2023;HTML5;Smartphone;42972;105;0,00244;17;367
Cliente 1;06/06/2023;Other;Desktop;7081;262;0,03700;130;156
Cliente 1;06/06/2023;Programmatic;SmartTV;35177;196;0,00557;33;286
Cliente 1;06/06/2023;Custom;Tablet;7810;329;0,04213;79;304
Cliente 1;06/06/2023;Custom template;SmartTV;5863;381;0,06498;331;429
Cliente 1;06/06/2023;HTML5;Tablet;1426;212;0,14867;112;145
Cliente 1;06/06/2023;DoubleClick Rich Media;SmartTV;2842;330;0,11612;160;382
Cliente 1;06/06/2023;Image;Desktop;3961;470;0,11866;427;220
Cliente 1;06/06/2023;Other;Tablet;41298;493;0,01194;96;247
Cliente 1;06/06/2023;Custom;Tablet;31838;8;0,00025;1;447
Cliente 1;06/06/2023;DoubleClick Rich Media;Desktop;13206;167;0,01265;56;100
Cliente 1;06/06/2023;Programmatic;SmartTV;24835;132;0,00532;29;63
Cliente 1;06/06/2023;Other;SmartTV;40667;317;0,00780;168;241
Cliente 1;06/06/2023;Other;Smartphone;5552;113;0,02035;84;368
Cliente 1;06/06/2023;Image;SmartTV;33162;383;0,01155;276;184
Cliente 1;06/06/2023;Third-party;Smartphone;39035;253;0,00648;240;411
Cliente 1;06/06/2023;HTML5;Desktop;10406;500;0,04805;351;223
Cliente 1;06/06/2023;DoubleClick Rich Media;SmartTV;35274;326;0,00924;219;157
Cliente 1;06/06/2023;Image;Tablet;10397;440;0,04232;268;226
Cliente 1;06/06/2023;Video creative sets;Smartphone;39587;120;0,00303;1;196
Cliente 1;06/06/2023;Programmatic;SmartTV;19190;42;0,00219;19;312
Cliente 1;06/06/2023;DoubleClick Rich Media;SmartTV;14813;1;0,00007;1;447
Cliente 1;06/06/2023;Other;Tablet;34439;8;0,00023;6;197
Cliente 1;06/06/2023;Third-party;Tablet;1350;46;0,03407;35;59
Cliente 1;06/06/2023;Programmatic;Smartphone;28532;319;0,01118;136;446
Cliente 1;06/06/2023;DoubleClick Rich Media;Tablet;28407;140;0,00493;136;415
Cliente 1;06/06/2023;Third-party;Smartphone;8760;412;0,04703;352;68
Cliente 1;06/06/2023;Third-party;Desktop;26728;184;0,00688;102;145
Cliente 1;06/06/2023;Third-party;Smartphone;21130;289;0,01368;191;33
Cliente 1;06/06/2023;Programmatic;Smartphone;28238;430;0,01523;190;499
Cliente 1;06/06/2023;Programmatic;Tablet;31375;444;0,01415;341;281
